id,skill,num_rel_jobs,main_city,city,state,latitude,longitude,population_2013,created_at,updated_at
1,Android,1,"Phoenix, AZ",Avondale,Arizona,33.448377,-112.074037,78822,0000-00-00 00:00:00,0000-00-00 00:00:00
2,C++,1,"Phoenix, AZ",Avondale,Arizona,33.448377,-112.074037,78822,0000-00-00 00:00:00,0000-00-00 00:00:00
3,iOS,1,"Phoenix, AZ",Avondale,Arizona,33.448377,-112.074037,78822,0000-00-00 00:00:00,0000-00-00 00:00:00
4,.NET,49,"Phoenix, AZ",Chandler,Arizona,33.448377,-112.074037,249146,0000-00-00 00:00:00,0000-00-00 00:00:00
5,Android,3,"Phoenix, AZ",Chandler,Arizona,33.448377,-112.074037,249146,0000-00-00 00:00:00,0000-00-00 00:00:00
6,C++,59,"Phoenix, AZ",Chandler,Arizona,33.448377,-112.074037,249146,0000-00-00 00:00:00,0000-00-00 00:00:00
7,Python,20,"Phoenix, AZ",Chandler,Arizona,33.448377,-112.074037,249146,0000-00-00 00:00:00,0000-00-00 00:00:00
8,Javascript,54,"Phoenix, AZ",Chandler,Arizona,33.448377,-112.074037,249146,0000-00-00 00:00:00,0000-00-00 00:00:00
9,PHP,8,"Phoenix, AZ",Chandler,Arizona,33.448377,-112.074037,249146,0000-00-00 00:00:00,0000-00-00 00:00:00
10,iOS,6,"Phoenix, AZ",Chandler,Arizona,33.448377,-112.074037,249146,0000-00-00 00:00:00,0000-00-00 00:00:00
11,NoSQL,8,"Phoenix, AZ",Chandler,Arizona,33.448377,-112.074037,249146,0000-00-00 00:00:00,0000-00-00 00:00:00
12,MySQL,15,"Phoenix, AZ",Chandler,Arizona,33.448377,-112.074037,249146,0000-00-00 00:00:00,0000-00-00 00:00:00
13,Ruby,6,"Phoenix, AZ",Chandler,Arizona,33.448377,-112.074037,249146,0000-00-00 00:00:00,0000-00-00 00:00:00
